UID,image,social_image,title,speaker,lang,abstract,bio,topic,video_url,chat_url
1,static/images/speakers/agustín_herranz.png,static/images/speakers/agustín_herranz_social.png,"sudo pip install = 💩, pipx = 👌",Agustín Herranz Cecilia,,"Usar 'sudo pip install' siempre es mala idea, más aún si lo que queremos es instalar aplicaciones Python en nuestro ordenador. Te contaré como funcionan las dependencias en Python. Por qué es mala idea instalar cosas dentro del Python del sistema, en el entorno de tu propio usuario. Qué son y por que es mejor usar virtualenvs. Y de como puedes despreocuparte de lo anterior usando pipx.","También conocido como tinproject, Agustín es Ingeniero Técnico en Telecomunicación, segoviano, y un enamorado de Python. 
Actualmente va saltando entre Dev y Ops, gestionando infraestructuras y dando forma a plataformas, todo para facilitar que la gente se centre en aportar valor de manera continua.",Python Tooling,Ay0dRxfduB0,https://comunidad.es.python.org/t/sudo-pip-install-pipx-ok/363/1
2,static/images/speakers/aitor_gastaminza_victoriano_giralt_ramón_martínez.jpeg,static/images/speakers/aitor_gastaminza_victoriano_giralt_ramón_martínez_social.png,Robots PCR Covidwarriors,Aitor Gastaminza / Alex Gasulla / Victoriano Giralt / Ramón Martínez / Ernesto Sánchez,,"En Febrero se forma COVIDWarriors y proponen traer robots a España para ayudar a hacer PCRs. Primero se dibujan los esquemas de proceso, abrir un GitHub y parametrizar los reservorios que se usarán en cada laboratorio. Se desarrollan funciones para pipetear los reactivos, se crean clases para guardar información de los reactivos y se programan las rutinas. Se realiza una primera versión de plataforma en excel y línea de comandos que permite registrar las muestras y asegurar la trazabilidad. Posteriormente, se realiza una segunda versión en plataforma Django que además permite comunicarse con el robot usando la librería ""requests"".","COVIDWarriors: es una organización sin ánimo de lucro formada gracias al filántropo y consultor Andreu Veà cuando vio que la pandemia se nos echaba encima allá por Febrero y se puso manos a la obra para intentar ayudar a la sociedad a paliar los efectos del SARS-CoV-2. Aglutina a todo un equipo de más de 400 personas además de haber permitido que la semilla de COVIDWarriors germinara, la cual tiene muchas otras iniciativas.

Aitor Gastaminza: soy un ingeniero de 27 años que se le ocurrió empezar a estudiar python hace 2 años mientras estaba en Australia en un laboratorio de investigación electroquímica. Siempre me habían gustado los coches y quería trabajar en ello, pero sin saber cómo he trabajado en todo tipo de sectores excepto en el automovilístico.

Alex Gasulla: Alex lleva muchos años trabajando en sistemas LIMS en hospitales y ayudando a empresas en el desarrollo de herramientas internas así como webs y ecommerce.

Victoriano Giralt: Director de innovación de la universidad de Málaga estudió Medicina allá por los 80 pero entonces descubrió la tecnología e internet. Lleva programando en Python desde los 90.

Ramón Martínez: se dedica a la consultoría tecnológica, blockchain y seguridad, además de desarrollar un sinfín de proyectos (cada día nos sorprende con algo nuevo). Cuando hizo la mili estuvo en el departamento de desarrollo tecnológico.

Ernesto Sánchez: nuestro pequeño aragonés se dedica como Ramón a la consultoría en seguridad tecnológica, pero también es radioaficionado y es un must en los debates para poner la gente a trabajar.","Comunidad, sociedad y cultura",Dq40F-cIVKI,https://comunidad.es.python.org/t/robots-pcr-covidwarriors/376/1
3,static/images/speakers/ana_esteban_gutiérrez.jpg,static/images/speakers/ana_esteban_gutiérrez_social.png,Python en el universo de las lentes gravitatorias: cómo estudiar el efecto microlente,Ana Esteban Gutiérrez,,"En el mundo de la Astrofísica, necesitamos continuamente lenguajes de programación para poder recrear nuestras simulaciones o para analizar datos de observaciones.
En mi campo, utilizo Python diariamente para simular, analizar y comparar mapas de magnificación de microlensing en cuásares para poder estudiar las propiedades de la materia oscura o el movimiento de galaxias. A partir de modelos matemáticos y estadística, obtenemos resultados que luego se compararán con datos observacionales sacados a partir de aquellos sistemas que presenten el efecto lente gravitatoria.","Mi nombre es Ana Esteban Gutiérrez, tengo 26 años y nací y crecí en Santa Cruz de Tenerife. Empecé estudiando el Grado en Física por la Universidad de La Laguna, para luego elegir el Máster de Astrofísica impartido también en la misma universidad. Actualmente me encuentro en el Instituto de Astrofísica de Canarias realizando mi tesis doctoral en el campo de la Cosmología. En concreto, trabajo intentando desentrañar los misterios de la materia oscura y de la evolución de nuestro universo, todo ello a partir del efecto de lente gravitatoria.",Computación científica,elAt6b7wpFc,https://comunidad.es.python.org/t/python-en-el-universo-de-las-lentes-gravitatorias-como-estudiar-el-efecto-microlente/368/1
4,static/images/speakers/andrea_morales_miguel_lópez.png,static/images/speakers/andrea_morales_miguel_lópez_social.png,EDA and NLP basics: Exploring the innards of the Spanish poetry,Andrea Morales Garzón / Miguel López Pérez,,"¿Eres un amante de la visualización de datos? ¿Y del Procesamiento del Lenguaje Natural (NLP)? ¿Y de la poesía? Pues estás de suerte. Con esta charla, queremos mostrar los pasos básicos a seguir para resolver un problema de procesamiento de lenguaje natural, que pueden ser aplicados en cualquier problema de esta área con tanto por explorar. Abordaremos tareas clásicas de NLP, como el análisis de sentimientos, búsquedas de similitud en los propios datos y algunas visualizaciones del vocabulario.","Andrea Morales se graduó en Ingeniería Informática, y realizó el Máster en Ingeniería Informática, ambos por la Universidad de Granada. Es investigadora contratada en el Proyecto Europeo H2020 Stance4Health, que persigue la creación de un servicio de nutrición personalizada centrado en el uso de tecnologías móviles e Inteligencia Artificial. Está interesada en el uso de modelos predictivos para la comprensión del lenguaje.

Miguel López realizó el Grado en Matemáticas en la UGR (2017). Luego, realizó un Master en Ciencia de Datos en la misma universidad (2018). Actualmente, se encuentra terminando su segundo año de doctorado en clasificación automática de imágenes de cáncer. Muy interesado en el aprendizaje automático y la modelización bayesiana aplicados en distintos campos.","Ciencia de datos, Machine Learning e IA",0C96vAa9NHY,https://comunidad.es.python.org/t/eda-and-nlp-basics-exploring-the-innards-of-the-spanish-poetry/369/1
5,static/images/speakers/andros_fenollosa.jpg,static/images/speakers/andros_fenollosa_social.png,Introducción a la programación Funcional en Python,Andros Fenollosa Hurtado,,"""Ya se objetos, ¿para que usar programación funcional?"" Si lees el título y pasa esta frase por tu cabeza... ¡necesitas urgentemente ver esta charla! Aprovecharé la plasticidad de Python para dar una breve explicación de que es la programación funcional, además de listar sus diferencias respecto al paradigma orientado a objetos, enseñar sus superpoderes, algunos ejemplos reales y ver otros lenguajes que pueden ayudarte a mejorar como desarrollador.","Fullstack, docente durante ya casi una década, Project Manager en su propio estudio de APPs, colaborador en el Podcast ""República Web"", bloguero incansable y locamente enamorado del software libre en todos los estratos del alma humana manteniendo varios proyectos.",Python Core,iRGHfE4rEuQ,https://comunidad.es.python.org/t/introduccion-a-la-programacion-funcional-en-python/374/1
6,static/images/speakers/antonia_tugores_biel_frontera_jaume_perello.jpg,static/images/speakers/antonia_tugores_biel_frontera_jaume_perello_social.png,COVID19Gram: seguimiento de la evolución del coronavirus desde telegram,Antònia Tugores / Biel Frontera Borrueco / Jaume Perelló Perelló,,"Presentamos un proyecto 100% Python desarrollado durante el confinamiento del mes de marzo y que han llegado a utilizar más de 1.000 usuarios de Telegram: un bot para seguir la evolución de la pandemia del coronavirus. El bot accede a diferentes fuentes de datos para ofrecer gráficas de la evolución epidemiológica a nivel mundial por países, a nivel español por comunidades autónomas, a nivel italiano por regiones y a nivel francés por departamentos.","Antònia ha sido programadora de videojuegos, de software de computación distribuida y ahora es especialista de datos en un centro de investigación.

Biel ha sido programador en sector bancario y el de la admin. pública y ahora es programador web especializado en visualización de datos en un centro oceanográfico.

Jaume ha sido profesor de secundaria y es diseñador gráfico. Actualmente cuida de su familia y se entretiene creando bots.
","Comunidad, sociedad y cultura",p0lav_dPSxE,https://comunidad.es.python.org/t/covid19gram-seguimiento-de-la-evolucion-del-coronavirus-desde-telegram/356/2
7,static/images/speakers/antonio_soto.jpg,static/images/speakers/antonio_soto_social.png,Interpretabilidad de Modelos de Machine Learning con Python,Antonio José Soto Rodriguez,,"Todavía a día de hoy es bastante común encontrarse con clientes o colegas que perciben los modelos de Machine Learning como una caja negra capaz de realizar magia o alquimia para darle al cliente lo que quiere. Sin embargo, la cruda realidad es que sin una comprensión razonable de como funcionan los modelos de ML, los proyectos del mundo real rara vez tienen éxito. Teniendo en cuenta que cualquier proyecto de este estilo tiene un componente de negocio muy relevante y que el objetivo final de estos modelos es que tomen decisiones de forma automática por los usuarios, estos tienen el derecho de plantear preguntas como “¿Cómo puedo confiar en este modelo?” o “¿Cómo toma las decisiones el modelo?” Responder a estas preguntas puede convertirse en todo un reto y es una de las áreas donde se está invirtiendo más esfuerzos hoy en día.","Soy Antonio Soto, llevo más de 20 años dedicado al mundo del análisis de datos, desde los primeros sistemas Data Warehouse, hasta el desarrollo de soluciones integradas con Inteligencia Artificial de hoy en día, pasando por todos los puntos intermedios. Me he tocado viajar por el mundo diseñando sistemas y soluciones enfocadas a la toma de decisiones en todos los sectores y en empresas de diferentes tamaños.","Ciencia de datos, Machine Learning e IA",CoghIHdAMSM,https://comunidad.es.python.org/t/interpretabilidad-de-modelos-de-machine-learning-con-python/365/1
8,static/images/speakers/davide_fiocco.png,static/images/speakers/davide_fiocco_social.png,Machine learning model serving with streamlit and FastAPI,Davide Fiocco,en,"Python provides sophisticated frameworks to develop machine learning models that can perform a variety of useful tasks.
To put those models to good use, one frequently needs to encapsulate them in web applications, so to make them available to human users and other applications.
I will show how a dockerized web application serving a ML model can be coded in pure Python, building its frontend with the streamlit library and the backend with the FastAPI library (no Javascript, no HTML/CSS needed!).","Currently I am working as senior data scientist at Frontiers (https://www.frontiersin.org/) in Madrid. There, I develop and help bring to production machine learning algorithms consuming scientific text and images, with the ultimate goal of facilitating the publication of high quality scientific content.
I contribute to Python open source projects as @davidefiocco on GitHub and I started blogging Python things on https://davidefiocco.github.io/. I also overuse my Twitter handle @monodavide.","Ciencia de datos, Machine Learning e IA",IvHCxycjeR0,https://comunidad.es.python.org/t/machine-learning-model-serving-with-streamlit-and-fastapi/375/1
9,static/images/speakers/gajendra_deshpande.jpg,static/images/speakers/gajendra_deshpande_social.png,Investigating Digital Crimes using Python,Gajendra Deshpande,en,"A recent study by the CheckPoint Research has recorded over 1,50,000 cyber-attacks every week during the COVID-19 pandemic. There has been an increase of 30% in cyber-attacks compared to previous weeks. Cyber forensics is a field that deals with the investigation of digital crimes by analyzing, examining, identifying, and recovering digital evidence from electronic devices and producing them in the court of law. In this talk, we will learn to use Python for the investigation of digital crimes.","I have delivered talks at SciPy India, PyCon FR/HK/TW/KR/AU/Africa, EuroPython, COSCUP Taiwan, BuzzConf Argentina, PiterPy Russia, and JuliaCon. I use Python extensively for teaching and research. My major work includes using Python to develop prototypes in the field of Cyber Security. I lead PyData Belagavi and OWASP Belagavi chapters. I love to mentor students and volunteer at Free and Open Source events.",Redes y Seguridad,0Jt-xm7kC2Y,https://comunidad.es.python.org/t/investigating-digital-crimes-using-python/372/1
10,static/images/speakers/jordi_contestí.png,static/images/speakers/jordi_contestí_social.png,Tipificación estática en Python 3.9,Jordi Contestí,,"Aunque Python es un lenguaje con tipificación dinámica, desde hace tiempo tenemos la posibilidad de utilizar tipificación estática de forma opcional. De esta forma, en la futura versión 3.9 las funcionalidades asociadas a la tipificación estática van a ampliarse. En esta charla explicaremos qué nos ofrecerá la tipificación estática al completo en la versión 3.9 mediante ejemplos de código, daremos recomendaciones sobre su uso y veremos estrategias para introducirla en nuestro código.","Ingeniero en Informática, Máster en Business Intelligence y Big Data y actualmente Head of Data en Habitissimo.",Python Core,2vYOxbd2ioc,https://comunidad.es.python.org/t/tipificacion-estatica-en-python-3-9/367/1
11,static/images/speakers/manuel_garrido_peña.png,static/images/speakers/manuel_garrido_peña_social.png,AutoML (Machine Learning para Vagos),Manuel Garrido Peña,,"En esta charla vamos a hacer una introduccion a un aspecto del proceso de Data Science que esta experimentando un crecimiento muy rápido en los ultimos años, AutoML, que consiste en el conjunto de aplicaciones que nos ayudan a automatizar las partes más tediosas del desarrollo de modelos predictivos, como seleccion de modelos u optimization de hiperparametros. ","Lead Data Architect en Daltix, ha gestionado proyectos Data Science para diferentes empresas internacionales como FlightClub, Scrapinghub, Namely y NBC Universal Inc. entre otros. Es profesor en varias instituciones académicas y escribe en su blog personal.","Ciencia de datos, Machine Learning e IA",1gLM-cM_XJ8,https://comunidad.es.python.org/t/automl-machine-learning-para-vagos/373/1
12,"static/images/speakers/mar_bartolome.png
",static/images/speakers/mar_bartolome_social.png,Hiring demystified,Mar Bartolomé,en,"It's not secret that the hardest problems in computer science are cache invalidation and naming things... oh, and hiring.

In our industry we've developed a culture and a mysticism around hiring, with certain rituals and practices which are often so detached from 
reality that you see numerous jokes and memes about the subject.

Hiring is a difficult problem, yet important to get right. Many developers are faced with the challenge of hiring other team members, without much clue into how to proceed, and end up just copying the well known rituals without stopping to analyse their effectiveness or implications. Often, this results in hindering both companies and candidates, especially those of under represented demographics.

In this talk I'll share my experiences and personal opinions both as a candidate and as an interviewer, analyze the implications of popular hiring tactics, and discuss what I consider effective ones, in order to hire the right developers for your team with minimum hassle for both sides.","Software Engineer and fulltime geek. I've been working as a web developer for more than a decade, much of which has involved writing python code for startups in both Málaga and London. A big proponent of free software, and pragmatic development practices. I blog and podcast at coconauts.net about fun technology experiments and personal projects.","Comunidad, sociedad y cultura",UBLTaQ_tRl4,https://comunidad.es.python.org/t/hiring-demystified/371/1
13,static/images/speakers/miguel_angel_rico_blanco.jpg,static/images/speakers/miguel_angel_rico_blanco_social.png,Videojuegos con Python Arcade,Miguel Ángel Rico Blanco,,"Python Arcade es una librería para el desarrollo fácil de videojuegos 2D en python. Veremos la instalación de esta librería, el pintado de objetos en pantalla y el bucle principal de arcade Python, incluida la entrada de usuario y de los assets gráficos y de sonido. Veremos algunos ejemplos tanto en 2D como en vista isométrica.Como ninguno somos artistas necesitaremos de assets gráficos de calidad (kenney.nl) y un programa de diseño para el mapa (mapeditor.org).","Python Developer en rindus. Ingeniero Informático por la Universidad de Málaga. Empezó jugando con su MSX y cuando, un viernes noche de mediados de los 80's, vio la película ""Juegos de guerra"" descubrió que quería hacer programas de ordenador y empezó al día siguiente por la mañana, todavía sigue. Backender obligado por su nulo sentido de la estética y desde el 2012 especializado en Python y Django.",Videojuegos y Diseño,8kRgYh2lgTo,https://comunidad.es.python.org/t/videojuegos-con-python-arcade/366/1
14,static/images/speakers/naomi_ceder.png,static/images/speakers/naomi_ceder_social.png,Una rebanada de Python,Naomi Ceder,,"En Python hay muchos tipos de secuencia - listas, tuplas, cadenas, etc., y una caractéristica poderosa de ellos es el uso de rebanadas 
(slices). Pero aunque son poderosas, su verdadera carácter no es bien conocida. 

Después de una breve explicación de la notación de rebanadas y de varios trucos para manipular las secuencias con ellas, vamos a hacer algunos experimentos para entender qué son en realidad las rebanadas y cómo funcionan en Python.","Naomi Ceder logró un doctorado en literatura clásica hace varias décadas, pero cambió de los idiomas humanos antiguos a los lenguajes de programación en algún momento del siglo pasado. Desde 2001 ella ha estado aprendiendo, enseñando y usando Python.

Un miembro electo de la Python Software Foundation, Naomi es la ex presidenta de la Junta de Directores. Ella también es la cofundadora de Trans*Code, y habla internacionalmente sobre Python, comunidad y inclusión y diversidad en tech.",Core del lenguaje,AiYPDhIfOo0,https://comunidad.es.python.org/t/una-rebanada-de-python/364/1
15,"static/images/speakers/nilo_ney.png
",static/images/speakers/nilo_ney_social.png,Python Serverless Microservices,Nilo Ney Coutinho Menezes,en,"Microservices and serverless are hot topics in web development communities that when combined increase the potential for developers to make software faster and to host it much cheaper than traditional virtual private servers. This talk aims to present a minimal set of tools to start developing Serverless Microservices using Python. With the serverless framework configured for Python, developing a new microservice API becomes very easy. The framework provides a set of tools to pack Python dependencies and also deploys the required infrastructure to the cloud, enabling infrastructure as code since the start of the project. Although the serverless framework is used during this presentation, no other Python framework is required, making it as easy as possible to start with plain Python code.","I'm a software architect that loves to program in Python and to design new software to run in the cloud. A professional computer programmer since the '90s, I have a BS (Data Processing) and MS (Informatics, computer networks) degrees from the Federal Univerisity of Amazonas (Brazil) and an incomplete PhD at the University of Mons (Belgium). I wrote a book about Python Programming for beginners, published in Portuguese and Spanish. I try to participate in the Brazilian Python community, especially in the North region of Brazil (9 states), trying to spread Python in the Amazon area.",Web,tmXMGRzpHQc ,https://comunidad.es.python.org/t/python-serverless-microservices/370/1